player_id,player_name,image,countryImage,fargo_rating,previous_rating,latest_tournament,in_latest_tournament,rating_status,latest_handicap,handicap_starttime,handicap_tournament_id,games,wins,losses,component,fargo_rating_8_ball,previous_rating_8_ball,rating_status_8_ball,wins_8_ball,losses_8_ball,fargo_rating_9_ball,previous_rating_9_ball,rating_status_9_ball,wins_9_ball,losses_9_ball,fargo_rating_10_ball,previous_rating_10_ball,rating_status_10_ball,wins_10_ball,losses_10_ball
52796236,Maija Uleberg,https://img.cuescore.com/image/5/4/5aa6aa48f7d5ffe854d5266ac08db7ef.png,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1644.23,1706.82,2024-12-12,False,anchored,,,,13,9,4,1,,,no_games,0,0,1654.37,1823.57,anchored,9,4,,,no_games,0,0
4759047,Geir Anfinsen,https://img.cuescore.com/image/8/4/862c792ba8eb7f97e626fbe6cbcc59f6.png,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1603.24,1661.44,2019-08-14,False,anchored,,,,4,4,0,1,,,no_games,0,0,1595.91,1762.04,anchored,4,0,,,no_games,0,0
52796242,Hanne-Therése Runestad,https://img.cuescore.com/image/5/4/5aa6aa48f7d5ffe854d5266ac08db7ef.png,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1585.74,1648.33,2024-12-12,False,anchored,,,,13,7,6,1,,,no_games,0,0,1595.89,1765.09,anchored,7,6,,,no_games,0,0
1006150,BArild Sørum,https://img.cuescore.com/image/7/4/7b565ded15222bab0a8b9e20f7e194df.png?t=1764668770,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1528.4,1581.2,2018-08-22,False,anchored,78.0,2018-08-22T16:15:00Z,2891870,12,9,3,1,,,no_games,0,0,1520.37,1681.7,anchored,9,3,,,no_games,0,0
9981040,Thomas Andre,https://img.cuescore.com/image/8/4/862c792ba8eb7f97e626fbe6cbcc59f6.png,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1494.51,1558.0,2021-10-11,False,anchored,,,,8,6,2,1,1612.21,1578.3,anchored,6,2,,,no_games,0,0,,,no_games,0,0
9981874,vibeke oslo bk,https://img.cuescore.com/image/5/4/5aa6aa48f7d5ffe854d5266ac08db7ef.png,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1494.51,1558.0,2021-10-11,False,anchored,,,,8,6,2,1,1612.21,1578.3,anchored,6,2,,,no_games,0,0,,,no_games,0,0
1006318,Jonas Kvalsund Hansen,https://img.cuescore.com/image/7/4/74042a5fb330252a2151c354505f927d.png?t=1686684110,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1457.16,1508.35,2019-08-31,False,anchored,2.0,2019-08-30T14:00:00Z,5976158,2,2,0,1,,,no_games,0,0,1461.33,1601.45,anchored,2,0,,,no_games,0,0
1384599,Hamid Alizadeh,https://img.cuescore.com/image/5/4/53e8bebe1d09f3439bd3753861854423.png?t=1643310610,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/no.png,1454.58,1507.31,2019-07-24,False,anchored,2.0,2019-07-24T16:00:00Z,6015793,8,3,5,1,,,no_games,0,0,1446.59,1608.11,anchored,3,5,,,no_games,0,0
83723041,Luka Bugarski,https://img.cuescore.com/image/d/4/d4af4bdd4ba3aa4c174aab7ea53a1c62.png?t=1783882505,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/rs.png,928.2,928.7,2026-06-15,False,anchored,,,,26,21,5,1,,,no_games,0,0,946.18,947.11,anchored,21,5,,,no_games,0,0
18119206,Julia Babica,https://img.cuescore.com/image/3/4/3033210e2d6faf1e9a0c528e5ad90e47.png?t=1717433446,https://cuescore.com/img/flags/png-country-4x2-none/res-640x480/pl.png,891.36,891.96,2026-06-15,False,anchored,450.0,2026-06-15T16:00:00Z,83685481,8,5,3,1,,,no_games,0,0,906.78,907.72,anchored,5,3,,,no_games,0,0
